PreciseTimeStamp,e2EDurationInMilliseconds
30:00.0,93
30:00.0,93
30:00.0,109
30:00.0,78
30:00.0,93
30:00.0,78
30:00.0,78
30:00.0,78
30:00.0,656
30:00.0,624
30:00.0,78
30:00.0,78
30:00.0,78
30:00.0,78
30:00.0,78
30:00.0,93
30:00.0,93
30:00.0,78
30:00.0,78
30:00.0,78
30:00.0,78
30:00.0,78
30:00.0,78
30:00.0,78
30:00.0,78
30:00.0,78
30:00.0,78
30:00.0,78
30:00.0,78
30:00.0,109
30:00.0,62
30:00.0,78
30:00.0,78
30:00.0,78
30:00.0,15
30:00.0,78
30:00.0,62
30:00.0,78
30:00.0,78
30:00.0,78
30:00.0,109
30:00.0,78
30:00.0,93
30:00.0,78
30:00.0,78
30:00.0,78
30:00.0,93
30:00.0,78
30:00.0,78
30:00.0,0
15:00.0,140
15:00.0,140
15:00.0,125
15:00.0,140
15:00.0,140
15:00.0,156
15:00.0,0
15:00.0,23171
15:00.0,22968
15:00.0,21703
15:00.0,20500
15:00.0,18937
15:00.0,18609
15:00.0,18046
15:00.0,17703
15:00.0,17484
15:00.0,17343
15:00.0,16828
15:00.0,16484
15:00.0,15734
15:00.0,140
15:00.0,140
15:00.0,156
15:00.0,156
15:00.0,140
15:00.0,140
15:00.0,140
15:00.0,156
15:00.0,125
15:00.0,140
15:00.0,125
15:00.0,125
15:00.0,124
15:00.0,124
15:00.0,156
15:00.0,125
15:00.0,140
15:00.0,140
15:00.0,156
15:00.0,156
15:00.0,140
15:00.0,140
15:00.0,125
15:00.0,124
15:00.0,124
15:00.0,140
15:00.0,140
15:00.0,140
15:00.0,156
15:00.0,140
15:00.0,140
15:00.0,140
15:00.0,140
15:00.0,124
15:00.0,140
15:00.0,296
15:00.0,140
15:00.0,140
15:00.0,140
15:00.0,140
15:00.0,140
15:00.0,140
15:00.0,140
15:00.0,156
15:00.0,156
15:00.0,140
15:00.0,140
15:00.0,156
15:00.0,140
15:00.0,140
15:00.0,140
15:00.0,140
15:00.0,140
15:00.0,140
15:00.0,140
15:00.0,140
15:00.0,140
15:00.0,140
15:00.0,140
15:00.0,140
15:00.0,140
15:00.0,140
15:00.0,140
15:00.0,140
15:00.0,124
15:00.0,156
15:00.0,140
15:00.0,140
15:00.0,124
15:00.0,124
15:00.0,125
15:00.0,140
15:00.0,156
15:00.0,140
15:00.0,140
15:00.0,125
15:00.0,124
15:00.0,125
15:00.0,140
15:00.0,125
15:00.0,156
15:00.0,140
15:00.0,140
15:00.0,125
15:00.0,140
15:00.0,140
15:00.0,140
15:00.0,156
15:00.0,140
15:00.0,124
15:00.0,140
15:00.0,140
15:00.0,140
15:00.0,140
15:00.0,140
15:00.0,140
15:00.0,1062
15:00.0,2859
15:00.0,3453
15:00.0,3843
15:00.0,5109
15:00.0,5906
15:00.0,7265
15:00.0,7546
15:00.0,140
15:00.0,140
15:00.0,156
15:00.0,8656
15:00.0,9437
15:00.0,9765
15:00.0,9828
15:00.0,140
15:00.0,124
15:00.0,140
15:00.0,10531
15:00.0,187
15:00.0,125
15:00.0,125
15:00.0,156
15:00.0,140
15:00.0,125
15:00.0,10546
15:00.0,11500
15:00.0,11281
15:00.0,12062
15:00.0,12171
15:00.0,12281
15:00.0,125
15:00.0,140
15:00.0,140
15:00.0,12531
15:00.0,12609
15:00.0,13250
15:00.0,140
15:00.0,140
15:00.0,140
15:00.0,140
15:00.0,140
15:00.0,140
15:00.0,140
15:00.0,156
15:00.0,140
15:00.0,140
15:00.0,140
15:00.0,140
15:00.0,140
15:00.0,140
15:00.0,125
15:00.0,140
15:00.0,140
15:00.0,140
15:00.0,140
15:00.0,140
15:00.0,140
15:00.0,125
00:00.0,109
00:00.0,109
00:00.0,140
00:00.0,140
00:00.0,140
00:00.0,125
00:00.0,140
00:00.0,140
00:00.0,140
00:00.0,140
00:00.0,125
00:00.0,124
00:00.0,140
00:00.0,15
00:00.0,125
00:00.0,140
00:00.0,140
00:00.0,140
00:00.0,124
00:00.0,125
00:00.0,171
00:00.0,109
00:00.0,109
00:00.0,109
00:00.0,109
00:00.0,109
00:00.0,125
00:00.0,109
00:00.0,109
00:00.0,124
00:00.0,125
00:00.0,125
00:00.0,140
00:00.0,328
00:00.0,109
00:00.0,109
00:00.0,109
00:00.0,124
00:00.0,140
00:00.0,140
00:00.0,140
00:00.0,109
00:00.0,124
00:00.0,124
00:00.0,140
00:00.0,140
00:00.0,140
00:00.0,140
00:00.0,140
00:00.0,140
00:00.0,124
00:00.0,125
00:00.0,125
00:00.0,187
00:00.0,109
00:00.0,125
00:00.0,125
00:00.0,125
00:00.0,125
00:00.0,124
00:00.0,140
00:00.0,125
00:00.0,156
00:00.0,109
00:00.0,124
00:00.0,140
00:00.0,140
00:00.0,234
00:00.0,140
00:00.0,109
00:00.0,140
00:00.0,140
00:00.0,124
00:00.0,125
00:00.0,124
00:00.0,125
00:00.0,124
00:00.0,125
00:00.0,203
00:00.0,265
00:00.0,140
00:00.0,140
00:00.0,140
00:00.0,140
00:00.0,140
00:00.0,109
00:00.0,109
00:00.0,125
00:00.0,109
00:00.0,109
00:00.0,109
00:00.0,140
00:00.0,109
00:00.0,109
00:00.0,109
00:00.0,140
00:00.0,140
00:00.0,140
00:00.0,140
00:00.0,125
00:00.0,109
00:00.0,140
00:00.0,109
00:00.0,124
00:00.0,140
00:00.0,125
00:00.0,296
00:00.0,140
00:00.0,109
00:00.0,140
00:00.0,124
00:00.0,124
00:00.0,140
00:00.0,281
00:00.0,140
00:00.0,124
00:00.0,140
00:00.0,140
00:00.0,140
00:00.0,140
00:00.0,140
00:00.0,140
00:00.0,140
00:00.0,140
00:00.0,140
00:00.0,140
00:00.0,124
00:00.0,140
00:00.0,140
00:00.0,140
00:00.0,140
00:00.0,140
00:00.0,140
00:00.0,140
00:00.0,140
00:00.0,171
00:00.0,140
00:00.0,124
00:00.0,124
00:00.0,187
00:00.0,125
00:00.0,124
00:00.0,109
00:00.0,124
00:00.0,125
00:00.0,203
00:00.0,156
00:00.0,218
00:00.0,140
00:00.0,140
00:00.0,125
00:00.0,140
00:00.0,125
00:00.0,109
00:00.0,109
00:00.0,124
00:00.0,109
00:00.0,218
00:00.0,125
00:00.0,124
00:00.0,125
00:00.0,140
00:00.0,109
00:00.0,125
00:00.0,171
00:00.0,125
00:00.0,124
00:00.0,125
00:00.0,140
00:00.0,140
00:00.0,124
00:00.0,234
00:00.0,124
00:00.0,109
00:00.0,109
00:00.0,156
00:00.0,140
00:00.0,140
00:00.0,140
00:00.0,187
00:00.0,140
00:00.0,140
00:00.0,124
00:00.0,109
00:00.0,140
00:00.0,140
00:00.0,140
00:00.0,140
00:00.0,140
00:00.0,265
00:00.0,140
00:00.0,140
